customer_id,company_name,industry,region,country,city,signup_date,account_owner,status,email,phone,employee_count,annual_revenue_usd,notes,account_tier
CUST-029,"Serrano, Anderson and Galvan",Transportation,EMEA,Spain,Williamtown,2023-11-26,Carla Gray,active,tonya34@gonzalez.org,280.785.7252,10,1115902,Air possible couple chance thousand join watch woman.,Gold
CUST-030,"Smith, Munoz and Moore",Energy,APAC,India,Port Brookeburgh,2022-10-01,Carla Gray,trial,holly95@singh-jennings.org,(953)362-0370,10,1810682,Before fish adult indicate effect.,Bronze
CUST-031,Wood-Brooks,Retail,EMEA,Spain,Davidfort,2023-11-18,Gina Moore,active,stevenwillis@powell-mason.info,904-860-6586,10,2017526,Talk visit notice dark.,Bronze
CUST-032,"Foley, Marshall and Yates",Healthcare,NA,Mexico,West Davidport,2023-04-04,Lisa Jackson,active,nancypeck@wilson-solis.net,972-454-8908x023,10,1855970,,Platinum
CUST-033,"Fisher, Adams and Carney",Retail,NA,United States,Richardsmouth,2023-11-01,Jamie Arnold,active,danielwillie@howe.com,651-844-7597,500,114737970,Her must raise.,Gold
CUST-034,"Gonzalez, Gonzalez and Thomas",Legal,NA,Mexico,Stevenfurt,2023-04-06,Derek Zuniga,active,reginabrown@campbell.info,815.843.5800,100,19353674,Forward lead as pick I.,Platinum
CUST-035,Sanchez Ltd,Healthcare,EMEA,Germany,Markbury,2023-02-26,Ryan Munoz,active,lynnwilson@benton-key.com,(888)404-0723,250,26606536,,Bronze
CUST-036,Morris-Miller,Retail,EMEA,Germany,North Kevin,2023-02-26,Angie Henderson,active,julia02@morales.info,(280)532-5656x2255,500,111918815,,Silver
CUST-037,Lee Group,Financial Services,APAC,Australia,South Michael,2022-06-04,Dylan Miller,active,johncummings@moore-bell.com,874-326-7591,100,12453239,,Gold
CUST-038,Chan-Tucker,Non-Profit,NA,United States,Phillipchester,2022-09-23,Jamie Arnold,active,michael65@pierce.com,+1-406-532-8902x792,500,86375174,,Gold
CUST-039,Gomez-Thompson,Technology,NA,United States,Morganside,2022-07-13,Gina Moore,active,bmendoza@hernandez.org,5546534291,500,57856505,,Bronze
CUST-040,"Hansen, White and Garrison",Non-Profit,NA,Mexico,Port Tracy,2023-07-22,Connie Lawrence,trial,tanya22@green.info,001-713-748-2171,10,2380797,,Bronze
CUST-041,Miller-Montes,Education,APAC,India,Anthonymouth,2022-06-26,Gina Moore,active,andersonaustin@lewis.com,(725)848-3737x20007,250,37497809,Rich nearly their local someone that suggest.,Platinum
CUST-042,Hall-Lozano,Real Estate,EMEA,United Kingdom,Robinton,2023-06-27,Dylan Miller,trial,qsmith@whitaker-stevens.net,001-259-228-4876x59327,10,2188197,,Bronze
CUST-043,Williams PLC,Manufacturing,APAC,Japan,Lake Christina,2023-01-15,Angie Henderson,active,floressonia@murray.org,868.383.9997,50,6368126,,Platinum
CUST-044,Vega Inc,Transportation,NA,Mexico,New Marymouth,2023-11-04,Gabrielle Davis,active,mackjasmine@welch.com,916.870.9335x02641,50,4234604,Family look want management.,Silver
CUST-045,Simmons-James,Media & Entertainment,APAC,Singapore,Lake Jaime,2022-07-10,Michele Williams,active,campbellmatthew@thornton.com,6464178913,50,10684639,,Silver
CUST-046,"Hawkins, Miller and Johnson",Technology,EMEA,Netherlands,Beltranmouth,2024-01-12,Derek Zuniga,active,connierose@smith.com,629-427-6562,250,20071879,,Silver
CUST-047,Marshall LLC,Healthcare,APAC,Hong Kong,Port Catherineview,2022-12-19,Carla Gray,active,maxbrown@cook-clark.com,992-279-0329,1000,236531045,,Silver
CUST-048,"Nguyen, Luna and Jones",Legal,APAC,Hong Kong,Lake Christopher,2023-04-04,Ryan Munoz,active,cynthia57@beasley.com,(418)220-6571x288,50,7420403,,Silver
CUST-049,"Jones, Martinez and Roberts",Financial Services,NA,Mexico,New Geraldburgh,2023-06-24,Derek Zuniga,churned,yavery@alexander.com,+1-757-833-6117x846,100,13116147,,Silver
CUST-050,"Good, Delgado and Tate",Energy,NA,United States,Blackside,2023-08-15,Dylan Miller,churned,lauren19@ruiz.org,+1-350-400-2929x92672,100,15904799,,Silver
CUST-051,Jones-Cox,Retail,EMEA,Sweden,Morastad,2022-11-21,Monica Herrera,churned,davisdylan@martinez-martin.com,+1-681-695-6113x372,100,18759994,Defense should TV ask collection truth.,Bronze
CUST-052,Costa Inc,Manufacturing,APAC,Japan,North Madison,2023-04-14,Brian Ramirez,active,ryan07@crane-patterson.com,+1-206-806-5753,10,878563,,Bronze
CUST-053,Kirby-Decker,Energy,EMEA,Netherlands,South Anthony,2023-07-30,Brian Ramirez,trial,burkecrystal@williams.net,+1-431-854-6522x265,10,1983802,,Platinum
CUST-054,"King, Barrett and Rodriguez",Healthcare,NA,Mexico,Leonardfurt,2022-06-06,Holly Wood,trial,codypeterson@wolfe.com,(951)745-5428x09787,250,29300748,,Platinum
CUST-055,Barker LLC,Real Estate,EMEA,Sweden,South Linda,2022-10-03,Carla Gray,active,sabrina09@grant.com,001-845-501-7715x3424,100,24794171,,Gold
CUST-056,Roy and Sons,Transportation,EMEA,Netherlands,Baileyton,2023-10-30,Brian Ramirez,active,robert74@montoya.com,(805)400-6450x7382,50,5352842,,Gold
CUST-057,"Porter, Lopez and Montgomery",Transportation,EMEA,Sweden,Jamesburgh,2023-03-11,Dylan Miller,active,johnwolf@daniel-schmidt.net,897-536-9935,50,6033589,Left condition note bar.,Silver
CUST-058,"Rice, Schroeder and Harrison",Transportation,NA,Canada,South Spencer,2023-05-10,Lisa Hensley,active,janicedennis@hunter-rodriguez.com,474-403-5343,10,1056412,,Bronze
CUST-059,Orozco LLC,Transportation,EMEA,United Kingdom,New Sandra,2023-07-30,Michele Williams,active,gwilliams@guzman.info,001-535-971-4321x785,50,4529258,,Platinum
CUST-060,Allen-Moody,Energy,EMEA,Italy,Lake Christina,2022-06-21,Jamie Arnold,trial,angelaguerrero@cruz.biz,001-990-588-9826,50,4050116,Campaign special ready participant kid may develop.,Silver
CUST-061,"Fox, Henry and Jenkins",Transportation,NA,Canada,Villaborough,2023-12-04,Brian Ramirez,churned,gainesjocelyn@reyes.com,412.839.0031x2984,250,58156982,Rich indeed skill occur step eat hard oil.,Gold
CUST-062,"Montgomery, Wells and King",Legal,NA,United States,Port Jamesbury,2023-07-04,Dylan Miller,active,trivera@roman.com,621-815-5039,250,50777708,,Bronze
CUST-063,Valentine-Jackson,Energy,APAC,South Korea,Beverlyville,2022-06-28,Michele Williams,trial,collinskayla@carter-horn.com,001-621-665-2696x77329,100,8460734,Upon yourself person bring.,Silver
CUST-064,"Hubbard, Hobbs and Cherry",Manufacturing,NA,United States,Smithhaven,2023-02-22,Lisa Hensley,active,zbrown@ballard-lopez.info,(967)743-7472x245,50,6868754,Explain former ten cause.,Silver
CUST-065,Johnson Ltd,Real Estate,APAC,India,New Bonnie,2023-02-14,Jamie Arnold,suspended,tolson@coleman.com,449-504-5329x328,10,1717012,Box what as could leader because.,Silver
CUST-066,Henderson-Foley,Manufacturing,NA,Mexico,Lake Lisa,2022-07-12,Cristian Santos,churned,ychandler@cordova.com,(335)731-3186,10,834646,Defense they party tree second nor.,Platinum
CUST-067,Johnson-Aguirre,Real Estate,NA,United States,Jeremymouth,2023-12-30,Connie Lawrence,trial,garciawayne@hart-stone.com,284.762.4885x182,100,21037267,,Platinum
CUST-068,"Harris, George and White",Financial Services,APAC,Hong Kong,Nortonbury,2022-09-26,Allison Hill,churned,rolson@weaver.com,001-601-781-2708x6934,1000,98376787,,Silver
CUST-069,Hunter-Chaney,Manufacturing,EMEA,Netherlands,West Troy,2023-07-12,Gina Moore,trial,zbutler@soto.biz,+1-732-976-6463,10,1974044,Finish set draw.,Platinum
CUST-070,"Hayes, Brown and Coleman",Energy,EMEA,Sweden,Whitakershire,2022-10-02,Michele Williams,churned,holly62@walker-gibson.biz,+1-737-874-5339x278,250,34756160,,Gold
CUST-071,"Ross, Smith and Jones",Media & Entertainment,NA,Mexico,Lake Mikaylaview,2023-05-16,Jamie Arnold,active,mendozamichael@macias-nash.com,(594)974-4656,250,24485402,,Silver
CUST-072,Crane-Cross,Non-Profit,APAC,Hong Kong,New Corey,2022-11-04,Carla Gray,active,conniewilliams@pollard.com,+1-655-711-7619,100,19057776,,Bronze
CUST-073,"Melton, Brady and Rangel",Non-Profit,EMEA,Netherlands,Jamesville,2023-09-20,Gina Moore,active,cookmonique@esparza.com,408.482.2042x7932,100,13479177,,Silver
CUST-074,"Robinson, Pollard and Thomas",Energy,NA,Canada,Alanville,2023-02-05,Allison Hill,churned,timothywebb@hill.biz,001-317-815-8570,100,14442818,,Silver
CUST-075,Jackson-Ryan,Retail,NA,Canada,East Frank,2023-01-04,Gabrielle Davis,active,jcameron@miles-baldwin.org,457-802-5612x66660,50,11482719,,Gold
CUST-076,"White, Figueroa and Stark",Media & Entertainment,EMEA,Germany,West Corey,2022-08-27,Brian Ramirez,active,kelly04@blackwell-franklin.net,+1-659-382-9803x926,50,10444399,,Silver
CUST-077,"Charles, Brown and Short",Media & Entertainment,NA,United States,Hectorside,2022-09-04,Lisa Jackson,active,brodriguez@maynard.com,579.406.4605,100,13205502,,Gold
CUST-078,Smith-Morse,Transportation,EMEA,France,East Sierra,2023-08-10,Gabrielle Davis,trial,ydavis@walker.com,(321)854-2444x338,50,9974267,,Silver
CUST-079,Mullen and Sons,Retail,NA,Mexico,East Brandyfurt,2022-12-15,Connie Lawrence,active,christinamills@mitchell-allison.biz,5964207657,100,20957223,Consumer size fly door interview major.,Bronze
CUST-080,"Morris, Gutierrez and Thomas",Healthcare,EMEA,France,New Monica,2023-11-20,Jamie Arnold,active,blairkathleen@beltran-caldwell.org,(714)673-8662,250,32590474,Available space build policy people model treatment.,Gold
CUST-081,Wood-Huynh,Technology,NA,Mexico,West Christopherchester,2022-10-08,Cristian Santos,active,daniel06@hart.com,385-232-0619x61057,100,19856095,,Silver
CUST-082,Estrada and Sons,Real Estate,EMEA,United Kingdom,Amyburgh,2022-06-13,Noah Rhodes,active,butlerkristin@stewart.com,(808)579-6033x16532,50,6896000,Mrs senior color lawyer relationship painting.,Silver
CUST-083,"Rodriguez, Carroll and Mendoza",Healthcare,APAC,Australia,East Maria,2022-08-06,Cristian Santos,active,ashley25@lawson.com,927-486-1442,100,19669667,Value tough anyone religious plan sure agreement.,Bronze
CUST-084,"Bowman, Hammond and Thompson",Healthcare,EMEA,France,New Caitlinbury,2022-08-27,Carla Gray,trial,thomaskennedy@byrd.info,848-825-3760,100,15074958,,Silver
CUST-085,Mendoza-Black,Real Estate,NA,Mexico,New Beverlyville,2023-06-25,Michele Williams,active,johnsonshelby@perez-leonard.com,(905)448-1611x9550,50,9002463,,Bronze
CUST-086,"Lawson, Krause and Singleton",Manufacturing,EMEA,Spain,South William,2022-09-10,Angie Henderson,trial,timothygalloway@little-king.org,001-784-911-0451x726,100,12498984,Management money including film effect treatment.,Silver
CUST-087,Thomas and Sons,Real Estate,NA,United States,Brandonfurt,2022-11-08,Noah Rhodes,active,markwilkins@zimmerman.com,+1-849-232-7972x14141,100,15988512,Oil use drop sister education.,Platinum
CUST-088,Murphy-Thomas,Manufacturing,EMEA,Italy,Nelsonmouth,2023-09-08,Lisa Jackson,active,pjohnson@morgan.net,+1-918-835-0605x20765,500,106965382,,Platinum
CUST-089,Miller-Williams,Legal,APAC,India,Nathanhaven,2022-09-26,Cristian Santos,active,longandre@bailey.com,001-523-887-7338x027,10,1251575,Across thousand market job.,Bronze
CUST-090,Montoya Inc,Real Estate,NA,Canada,Mooreton,2024-01-04,Lisa Hensley,trial,rachaelparker@johnson.info,(796)837-9898,10,1970752,,Silver
CUST-091,"Zamora, Gonzalez and Norton",Technology,EMEA,Netherlands,Gomezmouth,2023-08-23,Carla Gray,active,nicole90@miller.com,206.886.2142,500,102435383,Upon not Congress audience where perform.,Silver
CUST-092,"Morris, Herman and Murphy",Technology,NA,Mexico,Millsside,2024-01-11,Gabrielle Davis,active,anthonyhines@ponce.info,698.370.1484,5000,971439346,,Silver
CUST-093,"Perkins, Walsh and Bowman",Real Estate,EMEA,Germany,Colleenshire,2023-09-25,Lisa Jackson,active,tony17@smith-collier.com,+1-245-654-4944x4034,500,55426577,,Bronze
CUST-094,"Arroyo, Miller and Baker",Education,APAC,Australia,Ricechester,2023-09-25,Connie Lawrence,active,bduran@taylor.com,001-390-633-9495x670,50,4889099,,Gold
CUST-095,"Gallagher, Johnson and Mccormick",Transportation,EMEA,France,East Robertborough,2023-07-16,Gabrielle Davis,suspended,tracysmith@yoder-robertson.biz,772.568.8509x02752,10,949701,,Bronze
CUST-096,Ali-Solis,Technology,APAC,India,South Shannon,2023-11-09,Michele Williams,suspended,jared43@thomas.com,431-678-1232x50530,100,17224091,Instead card writer hundred modern research more option.,Silver
CUST-097,"Bennett, Johnson and Serrano",Technology,EMEA,Spain,Lake Christinaport,2023-10-24,Ryan Munoz,active,foxpamela@bailey-gillespie.com,+1-743-794-7258x082,10,1733673,,Silver
CUST-098,Hammond PLC,Energy,EMEA,United Kingdom,North Josephside,2022-06-30,Ryan Munoz,trial,sheltonjeremy@lopez.biz,802-539-3674x0886,250,50165770,,Bronze
CUST-099,Brown-Wallace,Healthcare,EMEA,United Kingdom,New Kristenburgh,2023-01-17,Cristian Santos,trial,rsmith@hoffman.biz,748.759.7822,50,4998462,,Bronze
CUST-100,"Walker, Francis and King",Real Estate,EMEA,Spain,Martinport,2023-03-07,Derek Zuniga,active,michael40@carter.net,798.307.3158,5000,607171270,Low stand source build.,Bronze
CUST-101,Dawson Inc,Financial Services,NA,Mexico,Port Stephanie,2023-11-03,Michele Williams,churned,perezjohn@ortiz.com,001-346-614-9769,500,63481029,,Silver
CUST-102,Cox-Moore,Retail,EMEA,France,Johnsonland,2022-06-03,Brian Ramirez,active,lisadavis@crawford-young.com,660.271.3843,250,44646743,,Platinum
CUST-103,Becker-Moreno,Transportation,NA,Canada,Bucktown,2023-05-20,Abigail Shaffer,active,ujohnson@bauer.info,001-984-214-2095,50,11929244,,Silver
CUST-104,"Adams, Scott and Solomon",Media & Entertainment,NA,Canada,East Cindy,2023-01-26,Lisa Hensley,trial,moorejulian@reed.com,+1-464-986-2451x00706,10,2065998,,Silver
CUST-105,"Lee, Riley and Robinson",Technology,EMEA,Sweden,South Scott,2022-11-03,Monica Herrera,active,vwhite@perry-stevens.com,951.465.5593x330,10,2441101,,Bronze
CUST-106,"Miller, Reese and Lopez",Real Estate,APAC,India,Warnerton,2022-09-11,Cristian Santos,active,sspence@rodriguez-jimenez.com,289-636-5690x654,10,1045064,Week or nor.,Silver
CUST-107,"Jones, Adams and Wright",Media & Entertainment,EMEA,France,North Johnathanberg,2023-05-13,Derek Zuniga,active,brianpratt@williams.com,772.916.1206,100,22480009,,Bronze
CUST-108,Hester-Jenkins,Technology,NA,Mexico,Paulaborough,2023-10-13,Ryan Munoz,trial,kevinmendoza@fisher.com,247-260-2275x14752,100,11991094,,Bronze
CUST-109,Owen PLC,Non-Profit,EMEA,Netherlands,Singletonborough,2022-09-09,Ryan Munoz,churned,teresa59@murray.com,416.442.9581x224,500,77712676,,Silver
CUST-110,Morgan Inc,Media & Entertainment,NA,United States,Burtonfurt,2023-03-28,Lisa Jackson,active,laurenweber@sims.com,001-779-927-3314x89094,10,1702982,,Platinum
CUST-111,Baker-Lewis,Media & Entertainment,NA,United States,Jonesview,2022-08-20,Lisa Jackson,active,khuang@hawkins.com,685.293.3369x91435,100,12094106,Reach them think marriage worry American.,Platinum
CUST-112,Riley Ltd,Technology,NA,Canada,Port Sandra,2023-09-14,Ryan Munoz,active,ntucker@romero-mcclure.com,(369)607-8068x6779,500,79546526,,Bronze
CUST-113,Martin-Johnson,Retail,NA,Canada,Tonyachester,2023-05-20,Gabrielle Davis,trial,lpatrick@owen-santos.com,001-208-512-2311,100,15213251,,Silver
CUST-114,Miller-Tucker,Media & Entertainment,NA,Canada,Butlerbury,2023-10-08,Ryan Munoz,active,edwin22@hoffman.com,(720)370-8660,100,17771802,Small anything suffer certain three.,Gold
CUST-115,King Inc,Legal,APAC,India,Walkertown,2023-03-09,Carla Gray,active,baileyjesse@davis.com,9164664816,250,61378119,,Bronze
CUST-116,Holland Ltd,Education,APAC,Singapore,Port Curtis,2023-01-22,Gabrielle Davis,active,velliott@murray.com,+1-540-201-9840,10,1123224,,Bronze
CUST-117,Barrett-Miller,Legal,EMEA,Italy,Jacksonmouth,2022-10-19,Dylan Miller,active,zacharygonzalez@smith.info,(504)863-7645x4530,100,13251859,List arrive she contain suffer name eat.,Platinum
CUST-118,"Hall, Ferguson and Combs",Education,NA,United States,New Matthewburgh,2022-09-01,Cristian Santos,trial,jennifer87@solomon.com,615-603-0668x574,250,27464702,,Gold
CUST-119,"Frazier, Smith and Harvey",Retail,APAC,Singapore,New Gary,2023-11-26,Brian Ramirez,active,sjohnson@dyer.com,791.997.0048x4673,250,30921228,,Gold
CUST-120,"Green, Hernandez and Williams",Healthcare,NA,Canada,Lake Rebeccaborough,2022-09-26,Lisa Hensley,active,robertcarrillo@cole-johnson.com,(558)417-9041x26700,10,2443050,,Silver
CUST-121,"Blackburn, Smith and Rodriguez",Technology,APAC,Singapore,Velezburgh,2022-09-01,Jamie Arnold,churned,yshields@robinson-harris.com,(929)301-5201,50,5050504,,Bronze
CUST-122,"Stone, Ramos and Diaz",Education,EMEA,Spain,Lake Kevinview,2023-06-26,Allison Hill,suspended,yburns@miller.com,001-332-345-1791,10,1197497,,Bronze
CUST-123,"Richardson, Barton and Campbell",Transportation,APAC,Singapore,North Suzannechester,2023-01-13,Ryan Munoz,active,snydersheila@barry-nunez.com,001-270-831-6296,250,58648974,,Silver
CUST-124,"Bennett, Sanchez and Mendoza",Real Estate,NA,United States,Lake Carrie,2022-07-09,Derek Zuniga,active,csmith@manning-mcmahon.com,+1-932-407-1361x02493,10,1199160,Later ever miss door science walk.,Gold
CUST-125,Baker Group,Non-Profit,NA,Mexico,Port Christopher,2023-12-06,Daniel Wagner,active,xmorris@bowen.biz,+1-473-301-1246x084,250,57630085,,Silver
CUST-126,Smith PLC,Manufacturing,EMEA,France,New Mikeburgh,2022-07-04,Jamie Arnold,churned,amandagonzalez@hunt.org,+1-961-216-8555x92684,50,12079718,Decide rather choice.,Gold
CUST-127,Griffin-Larson,Retail,EMEA,Spain,Aprilburgh,2023-06-03,Dylan Miller,active,schmidtmariah@adams.org,5277037208,10,1007671,No issue commercial course around.,Gold
CUST-128,"Snyder, Hendricks and Ramirez",Legal,NA,Mexico,Reneeshire,2022-06-22,Lisa Jackson,active,leonard35@carpenter-robinson.com,(784)497-1859x3027,10,1014070,Not protect follow side my road see.,Silver
CUST-129,"Rodriguez, Riley and Allen",Manufacturing,APAC,South Korea,Mcgrathville,2022-12-30,Carla Gray,active,lmclean@forbes-morris.com,(423)228-9331,50,5254210,Page population base former huge brother ready.,Silver
CUST-130,Lucas PLC,Media & Entertainment,APAC,Japan,Jamesport,2022-10-12,Cristian Santos,active,joy67@ramos.com,749.716.0823x874,10,2272961,East including approach look.,Silver
CUST-131,"Simmons, Hayes and Mendoza",Non-Profit,EMEA,Germany,Tonyhaven,2023-04-28,Holly Wood,active,pamela36@joseph.info,(473)731-9907,10,2060920,Better hit fill everyone heavy accept.,Silver
CUST-132,"Jackson, Harrison and Anderson",Healthcare,NA,Canada,South Tonyafort,2023-06-06,Carla Gray,active,carlos31@cooper.org,255-695-7081,50,5883172,Material article hear left four staff.,Gold
CUST-133,"Jimenez, Johnson and Sellers",Legal,EMEA,Sweden,Youngshire,2023-11-16,Brian Ramirez,active,vickilarson@jimenez.info,001-504-992-8427x87759,1000,90340319,,Gold
CUST-134,Burke-Kennedy,Real Estate,NA,United States,North Katrinabury,2023-10-16,Carla Gray,churned,rivaspaul@burton-duncan.com,7048955744,10,937343,Why think conference trip strong ready add.,Silver
CUST-135,Campbell Group,Media & Entertainment,NA,Mexico,South Robert,2023-12-14,Dylan Miller,churned,jennastokes@patterson.org,001-344-311-1856x5876,5000,850973311,,Gold
CUST-136,"Deleon, Sherman and Phillips",Legal,NA,Mexico,New Patriciabury,2022-09-26,Abigail Shaffer,trial,samantha74@miller.com,+1-934-373-2886,500,86863494,,Silver
CUST-137,Sandoval Ltd,Media & Entertainment,APAC,India,North Makayla,2023-05-14,Michele Williams,suspended,calhounkevin@silva.com,001-634-458-7252,50,4808229,,Silver
CUST-138,Lee LLC,Healthcare,NA,United States,North Emily,2023-09-29,Jamie Arnold,active,david87@greene.com,3026312687,10,964159,,Silver
CUST-139,Johnson-Young,Legal,EMEA,Spain,North Matthewmouth,2023-12-28,Michele Williams,active,karenmolina@cole.com,830-704-5444,10,1401116,,Gold
CUST-140,Cowan-Mora,Energy,EMEA,France,Gomezbury,2023-04-16,Brian Ramirez,active,michael41@adams.com,513-250-1292,100,10630412,Doctor leader can mother population question close here.,Silver
CUST-141,Gillespie Group,Retail,NA,Mexico,North Julietown,2023-06-12,Derek Zuniga,active,kevin31@atkins.com,269-893-8070,100,21722763,,Bronze
CUST-142,Williams-Hernandez,Legal,APAC,South Korea,Alanmouth,2023-12-23,Connie Lawrence,active,matthew98@bruce.com,(484)352-5315,250,31366528,Authority short five win size organization available.,Bronze
CUST-143,Medina-Ward,Financial Services,EMEA,France,East Ericshire,2023-05-26,Cristian Santos,active,zalvarez@smith.com,001-446-880-3648x947,100,14813333,,Bronze
CUST-144,Pacheco-Anderson,Media & Entertainment,APAC,Australia,Donnaside,2023-11-26,Ryan Munoz,active,eferrell@martinez.net,375-707-6772,50,5337978,,Silver
CUST-145,"Miller, Oconnell and Ramsey",Financial Services,EMEA,Spain,Lynnshire,2022-08-26,Angie Henderson,trial,brandijohnson@dunn.info,001-729-875-3534x99571,10,1850324,Organization citizen such politics remain which.,Gold
CUST-146,Munoz-Montgomery,Manufacturing,EMEA,Netherlands,West Robin,2023-08-27,Michele Williams,active,chadadams@orr-evans.com,208-777-5134,250,24837244,Day little thought or current us.,Platinum
CUST-147,"Lopez, Peterson and Duncan",Retail,EMEA,Spain,Wilkinsview,2023-10-12,Carla Gray,active,barbarawilson@navarro-rice.com,001-323-944-0619,10,1471947,Deal how sign difficult picture issue talk.,Silver
CUST-148,Frank-Barton,Retail,NA,United States,East Karenstad,2022-10-19,Michele Williams,churned,jeffreylong@moore.net,7985185460,50,4065704,Really team low tend north nature.,Bronze
